"","Day","State","ChinaVirusInterest","KungFluInterest"
"521",2020-04-05,"CO",17,6
"522",2020-04-06,"CO",21,0
"523",2020-04-07,"CO",5,0
"524",2020-04-08,"CO",14,0
"525",2020-04-09,"CO",7,0
"526",2020-04-10,"CO",10,0
"527",2020-04-11,"CO",0,0
"528",2020-04-12,"CO",14,5
"529",2020-04-13,"CO",9,0
"530",2020-04-14,"CO",12,0
"531",2020-04-15,"CO",13,0
"532",2020-04-16,"CO",11,0
"533",2020-04-17,"CO",7,0
"534",2020-04-18,"CO",10,0
"535",2020-01-21,"CT",56,0
"536",2020-01-22,"CT",47,0
"537",2020-01-23,"CT",60,0
"538",2020-01-24,"CT",96,0
"539",2020-01-25,"CT",100,0
"540",2020-01-26,"CT",64,0
"541",2020-01-27,"CT",93,0
"542",2020-01-28,"CT",46,0
"543",2020-01-29,"CT",38,9
"544",2020-01-30,"CT",28,0
"545",2020-01-31,"CT",36,0
"546",2020-02-01,"CT",30,0
"547",2020-02-02,"CT",39,0
"548",2020-02-03,"CT",33,0
"549",2020-02-04,"CT",37,0
"550",2020-02-05,"CT",33,0
"551",2020-02-06,"CT",28,0
"552",2020-02-07,"CT",21,0
"553",2020-02-08,"CT",20,0
"554",2020-02-09,"CT",10,0
"555",2020-02-10,"CT",20,0
"556",2020-02-11,"CT",8,0
"557",2020-02-12,"CT",8,0
"558",2020-02-13,"CT",9,0
"559",2020-02-14,"CT",18,0
"560",2020-02-15,"CT",15,0
"561",2020-02-16,"CT",10,0
"562",2020-02-17,"CT",9,0
"563",2020-02-18,"CT",20,0
"564",2020-02-19,"CT",0,0
"565",2020-02-20,"CT",12,0
"566",2020-02-21,"CT",8,0
"567",2020-02-22,"CT",10,0
"568",2020-02-23,"CT",10,0
"569",2020-02-24,"CT",25,0
"570",2020-02-25,"CT",24,0
"571",2020-02-26,"CT",20,0
"572",2020-02-27,"CT",24,0
"573",2020-02-28,"CT",8,0
"574",2020-02-29,"CT",19,0
"575",2020-03-01,"CT",24,0
"576",2020-03-02,"CT",24,0
"577",2020-03-03,"CT",27,0
"578",2020-03-04,"CT",31,0
"579",2020-03-05,"CT",8,0
"580",2020-03-06,"CT",12,0
"581",2020-03-07,"CT",24,0
"582",2020-03-08,"CT",19,0
"583",2020-03-09,"CT",8,0
"584",2020-03-10,"CT",36,0
"585",2020-03-11,"CT",32,0
"586",2020-03-12,"CT",47,0
"587",2020-03-13,"CT",38,0
"588",2020-03-14,"CT",58,0
"589",2020-03-15,"CT",23,0
"590",2020-03-16,"CT",16,0
"591",2020-03-17,"CT",70,0
"592",2020-03-18,"CT",52,20
"593",2020-03-19,"CT",66,23
"594",2020-03-20,"CT",52,15
"595",2020-03-21,"CT",53,9
"596",2020-03-22,"CT",52,0
"597",2020-03-23,"CT",31,7
"598",2020-03-24,"CT",34,0
"599",2020-03-25,"CT",45,7
"600",2020-03-26,"CT",31,0
"601",2020-03-27,"CT",22,0
"602",2020-03-28,"CT",46,0
"603",2020-03-29,"CT",28,0
"604",2020-03-30,"CT",17,0
