date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/19/2020,VI,3,,,,3,78
3/19/2020,VT,22,645,,,667,50
3/19/2020,WA,1535,15918,91,,17453,53
3/19/2020,WI,155,2192,,,2347,55
3/19/2020,WV,2,143,0,,145,54
3/19/2020,WY,18,271,,,289,56
3/20/2020,AK,12,686,,,698,2
3/20/2020,AL,81,28,0,,109,1
3/20/2020,AR,96,351,,,447,5
3/20/2020,AS,,,0,,0,60
3/20/2020,AZ,65,211,0,,276,4
3/20/2020,CA,1063,10424,20,,11487,6
3/20/2020,CO,277,2675,3,,2952,8
3/20/2020,CT,194,604,3,,798,9
3/20/2020,DC,71,501,1,,572,11
3/20/2020,DE,38,36,0,,74,10
3/20/2020,FL,520,1870,10,,2390,12
3/20/2020,GA,420,1966,13,,2386,13
3/20/2020,GU,14,86,,,100,66
3/20/2020,HI,26,124,,,150,15
3/20/2020,IA,45,642,,,687,19
3/20/2020,ID,23,590,,,613,16
3/20/2020,IL,585,3696,5,,4281,17
3/20/2020,IN,79,475,2,,554,18
3/20/2020,KS,44,417,1,,461,20
3/20/2020,KY,47,592,1,,639,21
3/20/2020,LA,479,568,12,,1047,22
3/20/2020,MA,413,3678,1,,4091,25
3/20/2020,MD,149,94,1,,243,24
3/20/2020,ME,57,2264,,,2321,23
3/20/2020,MI,4027,2746,3,,6773,26
3/20/2020,MN,115,3741,,,3856,27
3/20/2020,MO,47,369,1,,416,29
3/20/2020,MP,0,,0,,0,69
3/20/2020,MS,80,695,1,,775,28
3/20/2020,MT,16,931,,,947,30
3/20/2020,NC,137,3096,0,,3233,37
3/20/2020,ND,20,800,0,,820,38
3/20/2020,NE,32,240,0,,272,31
3/20/2020,NH,44,745,,,789,33
3/20/2020,NJ,890,264,11,,1154,34
3/20/2020,NM,43,3771,,,3814,35
3/20/2020,NV,109,1992,1,,2101,32
3/20/2020,NY,7102,25325,35,,32427,36
3/20/2020,OH,169,140,1,,309,39
3/20/2020,OK,49,538,1,,587,40
3/20/2020,OR,114,2003,3,,2117,41
3/20/2020,PA,268,2574,1,,2842,42
3/20/2020,PR,14,114,,,128,72
3/20/2020,RI,54,800,,,854,44
3/20/2020,SC,81,833,1,,914,45
3/20/2020,SD,14,663,1,,677,46
3/20/2020,TN,228,563,,,791,47
3/20/2020,TX,194,5083,5,,5277,48
3/20/2020,UT,112,2035,0,,2147,49
3/20/2020,VA,114,2211,2,,2325,51
3/20/2020,VI,3,,,,3,78
3/20/2020,VT,29,779,2,,808,50
3/20/2020,WA,1773,19336,102,,21109,53
3/20/2020,WI,206,3455,3,,3661,55
3/20/2020,WV,7,219,0,,226,54
3/20/2020,WY,19,331,,,350,56
3/21/2020,AK,14,758,,0,772,2
3/21/2020,AL,124,28,0,,152,1
3/21/2020,AR,118,567,,,685,5
3/21/2020,AS,,,0,,0,60
3/21/2020,AZ,104,240,1,,344,4
3/21/2020,CA,1279,11249,24,,12528,6
3/21/2020,CO,363,3317,4,44,3680,8
3/21/2020,CT,194,2106,4,,2300,9
3/21/2020,DC,77,506,1,,583,11
